iter	RMSE
0	9.29170537
1	8.764262842
2	8.275908418
3	7.826251564
4	7.407486477
5	7.016001292
6	6.654325244
7	6.319974949
8	6.008877157
9	5.724455058
10	5.460662192
11	5.215554448
12	4.988635825
13	4.782635424
14	4.591642337
15	4.413168507
16	4.243752915
17	4.091588532
18	3.945781665
19	3.810918705
20	3.686531517
21	3.567607601
22	3.462127215
23	3.365515479
24	3.274417417
25	3.191441624
26	3.115525688
27	3.044415373
28	2.978325928
29	2.917699099
30	2.861740118
31	2.808314852
32	2.759651055
33	2.714032423
34	2.670383794
35	2.630440389
36	2.592435478
37	2.557297116
38	2.523738272
39	2.491092992
40	2.460479039
41	2.433421518
42	2.404501737
43	2.378772211
44	2.353540955
45	2.331235469
46	2.305633613
47	2.283608238
48	2.263632437
49	2.241721657
50	2.220950937
51	2.202488192
52	2.185334323
53	2.16111017
54	2.138309522
55	2.118009379
56	2.100797527
57	2.083592011
58	2.069154274
59	2.055465622
60	2.042791349
61	2.029766496
62	2.018831826
63	2.006936966
64	1.99516052
65	1.984523001
66	1.974733201
67	1.964162688
68	1.955055337
69	1.946281311
70	1.937730903
71	1.927956421
72	1.920034045
73	1.911832275
74	1.903296568
75	1.896259613
76	1.888068048
77	1.88140983
78	1.874673456
79	1.867158816
80	1.86028162
81	1.853316145
82	1.845971854
83	1.83942522
84	1.833588958
85	1.828011431
86	1.821971076
87	1.816422809
88	1.809912777
89	1.804560604
90	1.798524612
91	1.793638004
92	1.786850395
93	1.782236678
94	1.777047318
95	1.772119233
96	1.767718779
97	1.76340693
98	1.759187478
99	1.751023343
100	1.746324936
101	1.7416383
102	1.73703724
103	1.732519993
104	1.727948006
105	1.723518881
106	1.719245411
107	1.712374313
108	1.708183442
109	1.70404308
110	1.699916556
111	1.696735
112	1.693034775
113	1.689562204
114	1.686065885
115	1.682560158
116	1.679302894
117	1.675391968
118	1.671644048
119	1.668774382
120	1.663330526
121	1.659883408
122	1.657025407
123	1.653685075
124	1.651102808
125	1.647524761
126	1.644678973
127	1.641014872
128	1.635246191
129	1.632302277
130	1.628147741
131	1.624999772
132	1.622569085
133	1.620016247
134	1.617732327
135	1.613400684
136	1.610054286
137	1.607989218
138	1.605010395
139	1.60150759
140	1.59896159
141	1.595979637
142	1.592975399
143	1.590566704
144	1.588105131
145	1.585062907
146	1.582870134
147	1.580209627
148	1.577844557
149	1.575382776
150	1.573397187
151	1.569387131
152	1.566411366
153	1.563906061
154	1.561480632
155	1.559841393
156	1.557842925
157	1.55574571
158	1.55316577
159	1.551028412
160	1.549094099
161	1.54719559
162	1.545026028
163	1.542768168
164	1.540596209
165	1.538757569
166	1.535874452
167	1.533777152
168	1.531746325
169	1.528654227
170	1.526370349
171	1.524382544
172	1.522285411
173	1.520420162
174	1.518670664
175	1.516607707
176	1.513281646
177	1.510842716
178	1.509289824
179	1.506175514
180	1.50355715
181	1.501122952
182	1.499564615
183	1.497052885
184	1.494683673
185	1.493094281
186	1.49077417
187	1.489055448
188	1.486793406
189	1.4849754
190	1.482036556
191	1.480499984
192	1.478666967
193	1.476650397
194	1.474697589
195	1.47269729
196	1.470880306
197	1.46893161
198	1.46722701
199	1.465634728
200	1.464370017
201	1.462098031
202	1.459424407
203	1.45787926
204	1.456059284
205	1.454276759
206	1.452550192
207	1.450742498
208	1.449363112
209	1.447282127
210	1.445587886
211	1.443976442
