iter	Passed	Remaining
0	447	8957914
1	921	9210912
2	1385	9233124
3	1870	9348329
4	2345	9380565
5	2801	9334523
6	3298	9420811
7	3803	9504261
8	4303	9558978
9	4817	9629599
10	5386	9787443
11	5873	9783024
12	6357	9774381
13	6841	9766257
14	7337	9776464
15	7793	9734496
16	8266	9717065
17	8739	9702316
18	9241	9718459
19	9720	9710521
20	10189	9693830
21	10659	9680070
22	11164	9697035
23	11640	9688465
24	12103	9671045
25	12605	9684025
26	13090	9683466
27	13550	9665183
28	14015	9651700
29	14546	9682898
30	15049	9694265
31	15529	9690614
32	16006	9685001
33	16511	9696103
34	17005	9700360
35	17544	9729225
36	18062	9745509
37	18553	9746262
38	19041	9745842
39	19583	9772251
40	20090	9780240
41	20553	9766778
42	21053	9771221
43	21580	9787879
44	22083	9792979
45	22584	9796556
46	23067	9792776
47	23591	9806134
48	24086	9807213
49	24574	9805318
50	25034	9792484
51	25501	9782693
52	25973	9775489
53	26456	9772310
54	26929	9765488
55	27427	9767989
56	27924	9770103
57	28414	9769538
58	28919	9774162
59	29390	9767599
60	29906	9775639
61	30411	9779789
62	30906	9780711
63	31393	9779215
64	31879	9777120
65	32350	9770710
66	32819	9764096
67	33297	9760049
68	33776	9756573
69	34274	9758545
70	34772	9760375
71	35263	9760110
72	35732	9754096
73	36251	9761359
74	36725	9756646
75	37194	9750913
76	37680	9749563
77	38158	9745959
78	38639	9743593
79	39082	9731478
80	39589	9735680
81	40072	9733715
82	40569	9735119
83	41049	9732534
84	41532	9730776
85	42019	9729949
86	42503	9728407
87	42941	9716501
88	43395	9708347
89	43872	9705499
90	44341	9701029
91	44797	9693812
92	45293	9695330
93	45766	9691747
94	46299	9701027
95	46783	9699741
96	47272	9699682
97	47832	9713955
98	48359	9721142
99	48854	9722035
100	49290	9711289
101	49727	9700700
102	50195	9696429
103	50681	9695731
104	51193	9700001
105	51686	9700496
106	52209	9706665
107	52679	9702710
108	53204	9709004
109	53685	9707298
110	54195	9710681
111	54663	9706618
112	55128	9702199
113	55578	9695034
114	56066	9694668
115	56539	9691637
116	57028	9691382
117	57479	9684832
118	58000	9689909
119	58469	9686506
120	58975	9689059
121	59455	9687356
122	59962	9690021
123	60447	9689125
124	60914	9685408
125	61395	9683997
126	61889	9684494
127	62381	9684704
128	62850	9681383
129	63299	9675112
130	63769	9672081
131	64215	9665462
132	64717	9667208
133	65226	9670072
134	65721	9670773
135	66216	9671434
136	66703	9671010
137	67188	9670325
138	67653	9666620
139	68135	9665487
140	68640	9667617
141	69130	9667548
142	69604	9665302
143	70118	9668499
144	70598	9667093
145	71082	9666217
146	71570	9665890
147	72067	9666805
148	72561	9667256
149	73026	9663798
150	73538	9666655
151	74011	9664283
152	74469	9660149
153	74974	9661940
154	75462	9661663
155	75981	9665265
156	76452	9662710
157	76927	9660712
158	77407	9659425
159	77895	9659061
160	78396	9660263
161	78876	9658961
162	79351	9657038
163	79860	9659284
164	80358	9660007
165	80813	9655739
166	81301	9655351
167	81757	9651306
168	82219	9647872
169	82715	9648531
170	83166	9643947
171	83645	9642588
172	84098	9638225
173	84564	9635513
174	85050	9635046
175	85510	9631611
176	85966	9627813
177	86453	9627406
178	86930	9625988
179	87416	9625554
180	87871	9621726
181	88390	9624855
182	88942	9631529
183	89470	9635540
184	89965	9635986
185	90422	9632453
186	90882	9629203
187	91390	9630982
188	91842	9626988
189	92328	9626439
190	92783	9622804
191	93286	9624025
192	93745	9620862
193	94218	9619056
194	94692	9617360
195	95160	9615048
196	95652	9615309
197	96136	9614589
198	96661	9618086
199	97147	9617566
200	97624	9616252
201	98083	9613142
202	98613	9616969
203	99099	9616546
204	99604	9617931
205	100106	9619016
206	100610	9620173
207	101090	9619190
208	101605	9621386
209	102119	9623547
210	102587	9621319
211	103041	9617852
212	103526	9617249
213	104065	9621671
214	104542	9620322
215	105029	9619921
216	105513	9619189
217	106001	9618950
218	106478	9617622
219	106954	9616152
220	107423	9614136
221	107937	9616118
222	108442	9617307
223	108953	9619026
224	109414	9616287
225	109925	9618037
226	110419	9618191
227	110952	9621687
228	111413	9619041
229	111866	9615630
230	112350	9614930
231	112832	9614094
232	113307	9612670
233	113799	9612665
234	114282	9611854
235	114771	9611592
236	115224	9608359
237	115713	9608144
238	116233	9610459
239	116745	9612059
240	117213	9610008
241	117710	9610390
242	118200	9610237
243	118752	9615094
244	119211	9612306
245	119663	9609037
246	120145	9608227
247	120641	9608543
248	121144	9609349
249	121663	9611409
250	122172	9612691
251	122667	9612829
252	123161	9612957
253	123642	9611950
254	124135	9611976
255	124625	9611748
256	125094	9609877
257	125588	9609954
258	126086	9610357
259	126539	9607280
260	127009	9605497
261	127503	9605558
262	127982	9604511
263	128465	9603795
264	128997	9606692
265	129445	9603274
266	129912	9601354
267	130423	9602684
268	130920	9602926
269	131389	9601133
270	131867	9600038
271	132429	9605000
272	132944	9606571
273	133413	9604785
274	133896	9604013
275	134390	9604031
276	134881	9603883
277	135382	9604397
278	135860	9603216
279	136330	9601594
280	136849	9603316
281	137295	9599964
282	137811	9601524
283	138330	9603266
284	138880	9607140
285	139372	9606935
286	139898	9609099
287	140388	9608810
288	140879	9608562
289	141390	9609655
290	141871	9608714
291	142355	9608036
292	142828	9606533
293	143314	9605938
294	143797	9605158
295	144301	9605807
296	144781	9604823
297	145262	9603923
298	145766	9604489
299	146290	9606400
300	146791	9606768
301	147303	9607916
302	147794	9607634
303	148271	9606419
304	148760	9606047
305	149291	9608327
306	149763	9606817
307	150254	9606543
308	150810	9610412
309	151295	9609676
310	151772	9608505
311	152253	9607577
312	152747	9607464
313	153219	9605969
314	153707	9605485
315	154192	9604815
316	154671	9603782
317	155160	9603368
318	155643	9602587
319	156116	9601176
320	156578	9599068
321	157073	9599039
322	157551	9597933
323	158015	9596028
324	158515	9596258
325	159010	9596232
326	159511	9596527
327	159981	9594991
328	160529	9598106
329	160979	9595375
330	161465	9594728
331	161898	9591012
332	162387	9590627
333	162875	9590121
334	163329	9587659
335	163826	9587761
336	164301	9586514
337	164810	9587277
338	165306	9587311
339	165795	9586876
340	166296	9587185
341	166815	9588498
342	167342	9590253
343	167818	9589064
344	168299	9588212
345	168831	9590195
346	169339	9590883
347	169797	9588671
348	170300	9589033
349	170802	9589339
350	171302	9589509
351	171801	9589625
352	172310	9590335
353	172782	9588937
354	173239	9586759
355	173718	9585732
356	174201	9584992
357	174672	9583578
358	175142	9582092
359	175614	9580731
360	176149	9582840
361	176639	9582449
362	177119	9581530
363	177608	9581086
364	178097	9580662
365	178593	9580635
366	179080	9580088
367	179609	9581800
368	180082	9580468
369	180528	9577780
370	181008	9576866
371	181515	9577361
372	181999	9576712
373	182472	9575400
374	182979	9575944
375	183458	9574987
376	183927	9573483
377	184423	9573422
378	184939	9574383
379	185440	9574594
380	185948	9575102
381	186439	9574788
382	186942	9575085
383	187444	9575272
384	187927	9574551
385	188495	9578096
386	188960	9576428
387	189486	9577840
388	190007	9579029
389	190451	9576304
390	190911	9574403
391	191384	9573134
392	191908	9574433
393	192410	9574613
394	192869	9572687
395	193365	9572589
396	193847	9571758
397	194342	9571599
398	194863	9572715
399	195357	9572499
400	195839	9571739
401	196318	9570760
402	196833	9571592
403	197326	9571326
404	197829	9571544
405	198279	9569177
406	198752	9567967
407	199206	9565833
408	199734	9567229
409	200221	9566680
410	200673	9564462
411	201155	9563694
412	201664	9564149
413	202184	9565170
414	202681	9565091
415	203182	9565197
416	203657	9564069
417	204163	9564430
418	204684	9565464
419	205175	9565089
420	205689	9565793
421	206155	9564269
422	206631	9563201
423	207120	9562734
424	207599	9561779
425	208089	9561359
426	208542	9559268
427	209036	9559045
428	209545	9559462
429	210060	9560183
430	210565	9560472
431	211037	9559209
432	211536	9559201
433	211995	9557390
434	212485	9556980
435	212974	9556485
436	213497	9557561
437	213961	9555957
438	214471	9556417
439	214980	9556868
440	215495	9557531
441	215973	9556573
442	216475	9556674
443	216917	9554122
444	217374	9552260
445	217904	9553617
446	218407	9553730
447	218878	9552487
448	219385	9552783
449	219897	9553344
450	220367	9552038
451	220861	9551765
452	221345	9551063
453	221849	9551237
454	222398	9553361
455	222962	9556086
456	223450	9555573
457	223947	9555414
458	224464	9556114
459	224936	9554911
460	225441	9555082
461	225932	9554689
462	226431	9554638
463	226929	9554519
464	227395	9553061
465	227930	9554498
466	228417	9553905
467	228928	9554321
468	229419	9553944
469	229946	9555007
470	230440	9554705
471	230960	9555516
472	231467	9555736
473	232001	9557106
474	232498	9556909
475	232964	9555441
476	233474	9555810
477	234001	9556857
478	234483	9556053
479	235013	9557233
480	235533	9557948
481	235996	9556407
482	236492	9556141
483	237024	9557388
484	237497	9556201
485	237977	9555339
486	238456	9554406
487	238953	9554214
488	239407	9552328
489	239935	9553342
490	240427	9552944
491	240910	9552208
492	241392	9551416
493	241868	9550396
494	242351	9549621
495	242861	9549943
496	243353	9549545
497	243859	9549687
498	244384	9550597
499	244898	9551026
500	245381	9550272
501	245873	9549888
502	246373	9549794
503	246863	9549307
504	247337	9548221
505	247817	9547333
506	248335	9547921
507	248829	9547616
508	249331	9547598
509	249804	9546434
510	250299	9546139
511	250772	9545036
512	251233	9543460
513	251671	9540992
514	252196	9541859
515	252700	9541903
516	253185	9541215
517	253661	9540201
518	254142	9539388
