index,contest-tmp2m-14d__tmp2m
375734,18.091822
375735,21.098667
375736,25.851675
375737,31.416183
375738,30.557756
375739,29.289017
375740,27.605318
375741,24.676277
375742,20.195906
375743,25.744394
375744,24.57018
375745,27.808033
375746,32.382103
375747,33.26692
375748,29.176805
375749,30.09051
375750,29.025503
375751,27.477621
375752,26.460983
375753,23.810255
375754,24.968594
375755,25.467058
375756,21.982786
375757,25.699284
375758,26.0389
375759,28.700558
375760,29.710726
375761,32.833237
375762,29.919077
375763,29.802643
375764,24.780428
375765,30.62912
375766,-6.860286
375767,-1.3228192
375768,-11.370013
375769,-13.939977
375770,-14.749958
375771,-14.986236
375772,-2.999631
375773,-4.1010175
375774,-10.018744
375775,-2.4014177
375776,-6.411722
375777,-8.843803
375778,-9.095154
375779,-6.312538
375780,-2.5932863
375781,-7.7127156
375782,-8.198582
375783,3.3870642
375784,-3.215596
375785,-0.22268915
375786,-1.4369818
375787,-2.7659934
375788,-1.5021974
375789,-4.1622334
375790,-4.257363
375791,-3.3598986
375792,0.92666924
375793,0.82804054
375794,0.36965233
375795,22.43867
375796,22.132038
375797,27.358776
375798,32.36018
375799,31.459661
375800,31.359348
375801,27.776653
375802,25.914858
375803,22.111458
375804,27.821932
375805,28.426342
375806,29.121239
375807,33.891964
375808,34.02283
375809,31.99673
375810,32.179893
375811,30.94621
375812,28.838036
375813,27.359583
375814,27.642214
375815,28.518045
375816,29.565157
375817,24.371311
375818,28.655853
375819,27.825066
375820,31.19675
375821,31.07468
375822,33.04546
375823,29.504177
375824,30.439568
375825,25.18272
375826,32.494617
375827,-5.9810824
375828,-0.9048052
375829,-10.993643
375830,-13.539829
375831,-12.943398
375832,-13.560234
375833,-1.5109769
375834,-4.0491
375835,-8.75664
375836,-2.4955268
375837,-7.1632223
375838,-8.843803
375839,-8.948752
375840,-5.883352
375841,-2.3650837
375842,-7.2577815
375843,-8.981312
375844,4.2352414
375845,-2.857889
375846,-0.22268915
375847,-1.0372031
375848,-3.7696257
375849,-1.8251073
375850,-3.4054785
375851,-3.4841552
375852,-3.3531735
375853,1.6623915
375854,2.3285296
375855,0.5261299
375856,18.107813
375857,20.978752
375858,26.537395
375859,30.66601
375860,30.557756
375861,29.289017
375862,26.292583
375863,24.242245
375864,20.195906
375865,25.744394
375866,26.701008
375867,27.808033
375868,32.382103
375869,33.26692
375870,32.192497
375871,31.030533
375872,31.693157
375873,28.191074
375874,25.560694
375875,25.689209
375876,27.193228
375877,27.36751
375878,22.048073
375879,25.699284
375880,26.0389
375881,28.700558
375882,28.931787
375883,32.833237
375884,29.919077
375885,29.802643
375886,24.780428
375887,30.62912
375888,-6.860286
375889,-1.867382
375890,-10.778533
375891,-15.788748
375892,-15.145298
375893,-14.571336
375894,-3.2022057
375895,-3.4889288
375896,-10.26522
375897,-2.4635534
375898,-7.9070044
375899,-8.843803
375900,-9.095154
375901,-6.312538
375902,-3.012886
375903,-7.7127156
375904,-7.809229
375905,2.9542735
375906,-3.274825
375907,-0.22268915
375908,-1.2377495
375909,-3.188316
375910,-1.6711297
375911,-4.4465227
375912,-3.9288206
375913,-3.0868535
375914,1.5297209
375915,1.1610694
375916,0.36965233
375917,21.105843
375918,21.440908
375919,26.179075
375920,30.343452
375921,31.459661
375922,31.034119
375923,27.415232
375924,25.914858
375925,22.111458
375926,27.821932
375927,28.05973
375928,28.480068
375929,33.145973
375930,33.482986
375931,32.513443
375932,32.055004
375933,31.24088
375934,28.88322
375935,27.163008
375936,27.494701
375937,28.917988
375938,28.854912
375939,22.667828
375940,26.369244
375941,27.908344
375942,29.909323
375943,28.99054
375944,31.959372
375945,29.328217
375946,30.582764
375947,27.145262
375948,31.13534
375949,-7.035394
375950,-1.7878946
375951,-10.778533
375952,-13.5518
375953,-13.329619
375954,-14.22726
375955,-2.999631
375956,-4.1010175
375957,-10.486325
375958,-2.4014177
375959,-7.094677
375960,-8.843803
375961,-9.095154
375962,-6.312538
375963,-3.1178408
375964,-7.7127156
375965,-8.658244
375966,2.247001
375967,-3.189838
375968,-0.22268915
375969,-0.8237288
375970,-3.917954
375971,-0.35335281
375972,-4.122557
375973,-3.7277462
375974,-3.0795102
375975,0.92666924
375976,1.0236162
375977,0.36965233
375978,21.76426
375979,21.256674
375980,26.179075
375981,30.569233
375982,31.408974
375983,31.359348
375984,27.776653
375985,25.914858
375986,21.59291
375987,27.821932
375988,27.947392
375989,28.480068
375990,32.111366
375991,33.45951
375992,32.042213
375993,31.564066
375994,30.987364
375995,27.791243
375996,26.405682
375997,25.13907
375998,28.09568
375999,28.854912
376000,23.386782
376001,25.764996
376002,27.6353
376003,29.909323
376004,28.839214
376005,31.959372
376006,30.266201
376007,30.582764
376008,26.862673
376009,31.13534
376010,-7.035394
376011,-1.7878946
376012,-10.778533
376013,-13.69595
376014,-13.936908
376015,-14.079291
376016,-2.999631
376017,-4.227838
376018,-10.486325
376019,-2.4014177
376020,-7.1632223
376021,-8.843803
376022,-8.851619
376023,-7.129242
376024,-3.0819473
376025,-8.484595
376026,-1.4834913
376027,2.247001
376028,-3.527781
376029,-0.22268915
376030,-1.0949053
376031,-3.3699257
376032,-0.9983085
376033,-4.25565
376034,-3.5790281
376035,-3.2862132
376036,0.732679
376037,1.1254652
376038,0.21438803
376039,18.091822
376040,20.924883
376041,26.226667
376042,30.376446
376043,30.661577
376044,29.650118
376045,26.983955
376046,24.202162
376047,20.80343
376048,26.12151
376049,27.141867
376050,27.893423
376051,32.382103
376052,33.26692
376053,32.192497
376054,31.030533
376055,31.237228
376056,29.496891
376057,27.020937
376058,25.382942
376059,27.193228
376060,27.36751
376061,21.514982
376062,26.591316
376063,27.744925
376064,29.185923
376065,29.055426
376066,26.44148
