index,contest-tmp2m-14d__tmp2m
375734,32.255126714283804
375735,34.565479887614515
375736,40.671711700980694
375737,50.00342028572721
375738,43.787411496214006
375739,41.13322678436022
375740,36.18744216768295
375741,45.267005220313465
375742,35.06536096055883
375743,36.67278136581646
375744,34.77822568164469
375745,39.499691392712634
375746,41.538282312969606
375747,32.79114047844169
375748,32.51283768573659
375749,41.17580374221166
375750,39.12771300503387
375751,36.87908635039769
375752,46.57944746645164
375753,43.629727852970326
375754,38.02134773298758
375755,35.608719408978416
375756,28.117018587496233
375757,42.31242105014475
375758,41.590172766938124
375759,35.99591585633548
375760,41.507826846072376
375761,38.08889494990477
375762,37.29323654127083
375763,40.59321713705815
375764,41.38555426271839
375765,40.87647467037067
375766,-0.9289419582387364
375767,5.599219295128816
375768,-16.17762638280473
375769,-19.610857683009073
375770,-20.348581438770566
375771,-19.883573813535463
375772,-8.255272690519025
375773,-5.316409490447448
375774,-4.746311640629429
375775,-2.3979919893570845
375776,-17.59623178223779
375777,-15.928168072467813
375778,-9.507366609704054
375779,-5.463432373777536
375780,-2.8538510007385796
375781,-15.311496612950439
375782,-6.531866060133449
375783,5.596303351845353
375784,3.063163991020602
375785,-1.3716612615970316
375786,-0.17889524538589363
375787,1.1164831692751847
375788,3.984943472939541
375789,-5.985215274330759
375790,-10.244074688561856
375791,-6.087240726594853
375792,4.5743326181839645
375793,9.105568547199633
375794,-5.4026068180570235
375795,34.19130973346706
375796,32.14629265502886
375797,40.47744704210254
375798,49.42007273655725
375799,45.347043108049675
375800,41.084467805186875
375801,40.30863422921266
375802,49.51866602356587
375803,37.322913040295596
375804,32.992639207765826
375805,34.627866252223015
375806,39.16757421090499
375807,41.29759217304182
375808,33.458365802929094
375809,34.040637423163716
375810,45.32582370661024
375811,39.56802399100082
375812,36.71854298062571
375813,47.36732253600557
375814,46.50190416015876
375815,43.531430956126805
375816,40.905523570976044
375817,31.438605815166074
375818,40.296873140189916
375819,44.40664551982779
375820,42.98528329386991
375821,41.01317907533449
375822,36.878922643114535
375823,37.73588924986875
375824,39.50740049307894
375825,41.96070696243366
375826,43.01139013392886
375827,-1.0713175832893853
375828,3.092684820569378
375829,-18.372733209891322
375830,-18.30668662075034
375831,-17.6106865378089
375832,-21.788796963122728
375833,-4.77118382727539
375834,-6.887048621544032
375835,-5.265305930960643
375836,-2.1887820782634098
375837,-18.262700168148573
375838,-14.181970181404516
375839,-9.724332925468953
375840,-5.49617789569302
375841,-3.015961414207899
375842,-15.142676143978903
375843,-4.7062981635977295
375844,5.3097723012267215
375845,1.42969536886992
375846,-1.6124633137108813
375847,-2.21064436422402
375848,3.0337786080937192
375849,3.9383022037533992
375850,-8.911655039240493
375851,-10.376704618824974
375852,-4.439795467302787
375853,2.5355198453949264
375854,12.477882533512247
375855,-1.2821139862500281
375856,30.080948852582047
375857,32.205522321982286
375858,36.82038095628045
375859,49.02925227451222
375860,42.39209695465708
375861,41.0009686765771
375862,40.13603370356843
375863,49.37229071717002
375864,36.01416867842194
375865,37.4705794870607
375866,37.47668396830668
375867,40.95649196452844
375868,39.34674376492006
