index,contest-tmp2m-14d__tmp2m
375734,15.741214
375735,18.740324
375736,22.425158
375737,29.439802
375738,28.979107
375739,27.786669
375740,16.093992
375741,20.316124
375742,13.836345
375743,20.782675
375744,21.416504
375745,27.672213
375746,30.247757
375747,30.431644
375748,26.95291
375749,23.99182
375750,21.542194
375751,22.257343
375752,25.175755
375753,21.73504
375754,21.16841
375755,18.440155
375756,15.338439
375757,23.129732
375758,22.716679
375759,25.522413
375760,27.177828
375761,27.891125
375762,27.219772
375763,26.353956
375764,21.836758
375765,29.030056
375766,1.5779037
375767,4.6449895
375768,-9.183482
375769,-16.48727
375770,-10.728293
375771,-8.644698
375772,0.11641808
375773,-1.829586
375774,-6.908776
375775,1.5816951
375776,-3.097021
375777,-4.315864
375778,-0.66131645
375779,2.090248
375780,0.98027307
375781,-4.49387
375782,-3.3057976
375783,6.3207555
375784,3.06975
375785,2.7762742
375786,2.8219104
375787,-0.21575256
375788,3.398333
375789,-5.3354287
375790,-6.4985204
375791,-6.6678815
375792,6.542132
375793,5.0982423
375794,5.178325
375795,16.092924
375796,21.296997
375797,23.687008
375798,30.290794
375799,29.630905
375800,28.358255
375801,17.43244
375802,22.42348
375803,14.935159
375804,22.588852
375805,26.5829
375806,29.552673
375807,31.354637
375808,31.58248
375809,28.924667
375810,28.436594
375811,25.635393
375812,23.819843
375813,26.964848
375814,26.150612
375815,26.734257
375816,24.642374
375817,20.193254
375818,28.190577
375819,26.862722
375820,27.553274
375821,29.264688
375822,29.658697
375823,28.094711
375824,28.177835
375825,24.016457
375826,32.005817
375827,3.3489184
375828,4.134095
375829,-6.705025
375830,-14.853079
375831,-10.837538
375832,-7.30733
375833,2.1763654
375834,-1.3770072
375835,-6.751295
375836,1.8340198
375837,-1.9994521
375838,-4.482012
375839,-0.8056313
375840,1.2277246
375841,2.1170068
375842,-3.8048236
375843,-2.563522
375844,7.475776
375845,6.4946184
375846,2.57932
375847,4.643349
375848,0.0156402
375849,4.2603326
375850,-6.03827
375851,-5.1663957
375852,-6.263291
375853,7.0983863
375854,6.5640683
375855,7.3022532
375856,14.540843
375857,20.569448
375858,24.490368
375859,29.125273
375860,29.54289
375861,28.855968
375862,16.128279
375863,21.339363
375864,14.762238
375865,21.862831
375866,26.032278
375867,28.512966
375868,28.345013
375869,28.24151
375870,27.234028
375871,24.576143
375872,22.683773
375873,20.238827
375874,24.593191
375875,22.950764
375876,23.443539
375877,19.576447
375878,14.47081
375879,22.917244
375880,22.859835
375881,24.514881
375882,28.23738
375883,28.505178
375884,25.5218
375885,26.324009
375886,22.228731
375887,29.343035
375888,1.4957446
375889,4.007413
375890,-8.651252
375891,-15.544425
375892,-10.141527
375893,-9.095236
375894,0.9421304
375895,-1.0807036
375896,-7.5470567
375897,-2.003631
375898,-6.4386773
