index,contest-tmp2m-14d__tmp2m
375734,29.303684
375735,29.18393
375736,29.077982
375737,29.445078
375738,29.414316
375739,29.130741
375740,29.042639
375741,29.209167
375742,29.208069
375743,29.193804
375744,29.371466
375745,29.684288
375746,29.193624
375747,29.101446
375748,29.111958
375749,29.025772
375750,28.753036
375751,28.490786
375752,28.17439
375753,28.023008
375754,27.797995
375755,28.17692
375756,27.457287
375757,26.987654
375758,26.989943
375759,26.436821
375760,25.956446
375761,25.880758
375762,25.835176
375763,25.467981
375764,25.038591
375765,25.08705
375766,25.134996
375767,24.696877
375768,24.685596
375769,24.921375
375770,24.59445
375771,24.36125
375772,24.318888
375773,24.409111
375774,24.497213
375775,24.497213
375776,24.51167
375777,24.411316
375778,24.184076
375779,24.133545
375780,23.987476
375781,23.975021
375782,23.891365
375783,23.709963
375784,23.351437
375785,23.221642
375786,22.88479
375787,22.798813
375788,22.299154
375789,22.234709
375790,21.547338
375791,21.296324
375792,20.97422
375793,20.137125
375794,20.093006
375795,28.826525
375796,28.923107
375797,28.752708
375798,29.007786
375799,29.007786
375800,28.860224
375801,28.764862
375802,29.03483
375803,28.91803
375804,28.99554
375805,29.173203
375806,29.218283
375807,28.997686
375808,28.938942
375809,28.949453
375810,28.863268
375811,28.651983
375812,28.396364
375813,27.95462
375814,28.179363
375815,28.049162
375816,28.232515
375817,27.785786
375818,26.899626
375819,26.901915
375820,26.776663
375821,26.118242
375822,25.486238
375823,25.49547
375824,25.208448
375825,24.689508
375826,24.777964
375827,24.82591
375828,24.38779
375829,24.353415
375830,24.577913
375831,24.561434
375832,24.024643
375833,24.213875
375834,24.356552
375835,24.420403
375836,24.420403
375837,24.430908
375838,24.222048
375839,24.07999
375840,24.029459
375841,24.001825
375842,23.961111
375843,24.046373
375844,23.732832
375845,23.732832
375846,23.616037
375847,23.340338
375848,23.215624
375849,23.0406
375850,22.562744
375851,22.326208
375852,21.673708
375853,21.096731
375854,20.553001
375855,20.31816
375856,28.913956
375857,28.852129
375858,28.867195
375859,28.93364
375860,28.951797
375861,28.931988
375862,28.931988
375863,28.776787
375864,28.513437
375865,28.499172
375866,28.723625
375867,29.273436
375868,28.592936
375869,28.555252
375870,28.431717
375871,28.263857
375872,28.116295
375873,28.054216
375874,27.918304
375875,27.881174
375876,27.477055
375877,26.85665
375878,26.764242
375879,26.582699
375880,26.138493
375881,25.876287
375882,25.758627
375883,25.092442
375884,25.463058
375885,24.656425
375886,24.314438
375887,24.392357
375888,24.693256
375889,24.549076
375890,24.549076
375891,24.58741
375892,24.553974
375893,24.239664
375894,24.359379
375895,24.371553
375896,24.395805
375897,24.309603
375898,24.327139
375899,23.94063
375900,23.881487
375901,23.881487
375902,23.881487
375903,23.841398
375904,23.610157
375905,23.398474
375906,22.79899
375907,22.920208
375908,23.004925
375909,22.748642
375910,22.71518
375911,22.049887
375912,20.765718
375913,20.683098
375914,19.9913
375915,19.381258
375916,18.989048
375917,28.52844
375918,28.558004
375919,28.497168
375920,28.720034
375921,28.71317
375922,28.779158
375923,28.779158
375924,28.409222
375925,28.310438
375926,28.353645
375927,28.656147
375928,28.943537
375929,28.289787
375930,28.25588
375931,28.134317
375932,27.944305
375933,27.818895
375934,27.77375
375935,27.637838
375936,27.473085
375937,27.15196
375938,26.950315
375939,26.565481
375940,26.428812
375941,25.98152
375942,25.607674
375943,25.156801
375944,24.612415
375945,24.869677
375946,24.03092
375947,23.921143
375948,23.89794
375949,24.301836
375950,24.183771
375951,24.149395
375952,24.187729
375953,24.376125
375954,24.01156
375955,24.286242
375956,24.298416
375957,24.298416
375958,24.236465
375959,24.254002
375960,24.045141
375961,24.004004
375962,24.004004
375963,24.004004
375964,23.963915
375965,23.648842
375966,23.657705
375967,23.342104
375968,22.932184
375969,23.004156
375970,22.760618
375971,22.73071
375972,22.150515
375973,21.414474
375974,20.925936
375975,20.123524
375976,19.449026
375977,19.042078
375978,28.24376
375979,28.380617
375980,28.562164
375981,28.63752
375982,28.59662
375983,28.331944
375984,28.063915
375985,27.840662
375986,27.672161
375987,27.691149
375988,27.989109
375989,28.226229
375990,28.21762
375991,28.241747
375992,28.252258
375993,27.902098
375994,27.699778
375995,27.657253
375996,27.441631
375997,27.521801
375998,27.230303
375999,26.626894
376000,26.364992
376001,26.25348
376002,26.24406
376003,25.708393
376004,25.55951
376005,25.038523
376006,24.911161
376007,24.670832
376008,24.374758
376009,24.45812
376010,24.735233
376011,24.527851
376012,24.67687
376013,24.617523
376014,24.552233
376015,24.563976
376016,24.611784
376017,24.75428
376018,24.793077
376019,24.731127
376020,24.611954
376021,24.480877
376022,24.43974
376023,24.38015
376024,24.357943
376025,24.17539
376026,24.004538
376027,23.925959
376028,23.64081
376029,23.64208
376030,23.461567
376031,22.885172
376032,22.32728
376033,22.39048
376034,21.953756
376035,21.82096
376036,21.364946
376037,20.95433
376038,20.350698
376039,28.549397
376040,28.465418
376041,28.385431
376042,28.651031
376043,28.651031
376044,28.962091
376045,28.975132
376046,28.89911
376047,28.756351
376048,28.664618
376049,28.922394
376050,28.950468
376051,28.884914
376052,28.40535
376053,28.403296
376054,28.327368
376055,28.07693
376056,27.733995
376057,27.604237
376058,27.039482
376059,26.555593
376060,26.191214
376061,25.771492
376062,25.78058
376063,25.663786
376064,25.165384
376065,24.918213
376066,24.45459
376067,24.148682
376068,24.01849
376069,23.769405
376070,23.830278
376071,23.957403
376072,23.895214
376073,23.809904
376074,23.848238
376075,23.709988
376076,23.719082
376077,23.900496
376078,23.91267
376079,23.903767
376080,23.714096
376081,23.679382
376082,23.554777
376083,23.495634
376084,23.495634
376085,23.44654
376086,23.434084
376087,22.977018
376088,22.704464
376089,22.329065
376090,22.017332
376091,21.565401
376092,21.023464
376093,21.082874
376094,21.023214
376095,20.14106
376096,19.62182
376097,19.366934
376098,17.971916
376099,17.430912
376100,28.303812
376101,28.352568
376102,28.352669
376103,28.685226
376104,28.61333
376105,28.473421
376106,28.473421
376107,28.308168
376108,28.03931
376109,28.025045
376110,28.332289
376111,28.704271
376112,28.38676
376113,28.024559
376114,27.803003
376115,27.636261
376116,27.488699
376117,27.488699
376118,27.247057
376119,26.562555
376120,26.427927
376121,26.151209
376122,25.877731
376123,25.744911
376124,25.775414
376125,25.236475
376126,24.836765
376127,24.813364
376128,24.368452
376129,23.774586
376130,23.827133
376131,24.12381
376132,24.250938
376133,24.2507
376134,24.295574
376135,24.333908
376136,23.76463
376137,23.78864
376138,23.970053
376139,23.982227
376140,23.982227
